,unixtime,mmsi,nav_status,sog,position_accuracy,lat,lon,cog,true_heading,timestamp
183,"1622561366.9622529,",245232000,0,0.1000000014901161,0,51.97715333333333,4.125196666666667,271.3999938964844,11,26
184,"1622561367.030009,",212396000,3,12.800000190734863,1,52.058295,4.000846666666667,156.89999389648438,149,27
185,"1622561367.2833836,",244287000,0,25.700000762939453,1,51.97221666666667,4.120183333333333,28.0,33,25
186,"1622561367.6347904,",357314000,0,12.600000381469728,1,52.0081,3.9880333333333335,291.0,292,28
187,"1622561367.8835216,",244050469,0,0.0,0,51.96119166666666,4.089873333333333,249.6999969482422,193,27
188,"1622561367.909555,",311020200,0,0.0,1,51.92726833333333,4.206681666666666,79.0,309,28
189,"1622561368.282849,",249522000,10,9.600000381469728,1,51.967733333333335,4.0869333333333335,41.0,45,28
190,"1622561368.684813,",219964000,3,0.3000000119209289,1,51.83310333333333,3.8823066666666666,206.3999938964844,71,29
191,"1622561368.819087,",244900124,0,0.0,0,51.960015,4.01117,181.1000061035156,357,29
192,"1622561368.978801,",248753000,0,9.300000190734863,0,51.967641666666665,4.113101666666667,118.9000015258789,117,27
193,"1622561369.0047748,",249040000,0,8.300000190734863,1,51.972253333333335,4.095656666666667,76.0,82,25
194,"1622561369.1093283,",244030516,0,4.800000190734863,1,51.93969,4.0850333333333335,107.0,105,28
195,"1622561369.403585,",244287000,0,25.799999237060547,1,51.972433333333335,4.1203666666666665,27.0,34,27
196,"1622561369.46937,",305149000,0,5.5,0,51.97139666666666,4.099798333333333,112.1999969482422,112,30
197,"1622561369.4983957,",210621000,0,0.0,1,51.90148333333333,4.3848,340.0,52,29
198,"1622561369.7132719,",211684020,0,0.0,1,51.964153333333336,4.09446,22.299999237060547,113,30
199,"1622561369.779201,",314416000,0,11.800000190734863,0,52.011115,4.001245,298.70001220703125,299,28
200,"1622561370.1804569,",636017916,5,0.0,1,51.959385,4.05963,297.0,263,30
201,"1622561370.3514967,",636017857,4,8.5,1,51.981161666666665,4.0714266666666665,115.6999969482422,114,21
202,"1622561370.5018113,",244697000,0,0.0,0,51.95145,4.14415,149.0,40,28
203,"1622561370.7629051,",224259000,5,0.0,1,51.97167,4.045223333333333,326.79998779296875,299,28
204,"1622561371.1651742,",304068000,0,0.0,0,51.92276666666667,4.217221666666667,89.80000305175781,37,31
205,"1622561371.3518841,",304642000,5,16.600000381469727,1,52.029833333333336,3.940833333333333,294.0,299,29
206,"1622561371.4745536,",244013210,0,0.0,1,51.976841666666665,4.125675,33.70000076293945,210,30
207,"1622561371.4908931,",244287000,0,25.799999237060547,1,51.97265,4.120533333333333,28.0,36,29
208,"1622561371.5142186,",249491000,0,0.0,0,51.95141666666667,4.144316666666667,131.0,219,31
209,"1622561371.6377032,",249040000,0,8.300000190734863,1,51.97226833333333,4.09578,77.0,83,27
210,"1622561371.68935,",244050469,0,0.0,0,51.96119166666666,4.089873333333333,245.8999938964844,193,31
211,"1622561371.778311,",244690814,0,0.0,1,51.958505,4.1440133333333335,196.6999969482422,309,31
212,"1622561371.8033419,",244100907,15,0.2000000029802322,0,51.94472,4.171663333333333,257.20001220703125,326,31
213,"1622561371.8582418,",250005693,0,7.099999904632568,1,51.969031666666666,4.133645,126.9000015258789,126,31
214,"1622561371.8837132,",244407000,0,0.0,1,51.976661666666665,4.1255,180.0,208,30
215,"1622561372.5172021,",249518000,0,0.0,0,51.95991333333333,4.009965,244.5,352,33
216,"1622561373.0319383,",245209000,0,3.299999952316284,1,51.98014666666667,4.094053333333333,107.6999969482422,106,32
217,"1622561373.489206,",244140719,0,11.100000381469728,0,51.91566666666667,3.633166666666667,23.0,25,31
218,"1622561373.5053937,",244287000,0,25.899999618530277,1,51.97285,4.120716666666667,28.0,37,31
219,"1622561373.9649377,",244042000,0,3.299999952316284,1,51.92066,3.961086666666666,51.59999847412109,46,33
220,"1622561374.2826812,",248352000,0,0.0,0,51.95989,4.00975,71.0999984741211,351,33
221,"1622561374.7182844,",244050469,0,0.0,0,51.96119333333333,4.089875,249.3999938964844,193,34
222,"1622561374.9003174,",249525000,0,0.0,1,51.976216666666666,3.9907166666666662,252.0,170,33
223,"1622561375.1656308,",354283000,0,3.5999999046325684,1,51.889633333333336,4.3077,184.0,234,32
224,"1622561375.338463,",249040000,0,8.399999618530273,1,51.97229333333333,4.096031666666667,79.0,85,31
225,"1622561375.4041822,",244287000,0,25.899999618530277,1,51.97306666666667,4.120916666666667,31.0,38,33
226,"1622561375.6861382,",211476060,0,0.1000000014901161,1,51.95966166666667,4.109166666666667,210.1999969482422,294,35
227,"1622561375.8587701,",212115000,3,9.300000190734863,1,52.02935833333333,4.047065,15.399999618530272,18,36
228,"1622561375.9650261,",244030516,0,4.800000190734863,1,51.93964666666667,4.085278333333333,105.5,104,35
229,"1622561376.1255448,",212396000,3,12.699999809265137,1,52.05780833333333,4.001195,156.60000610351562,150,36
230,"1622561376.287179,",246259000,3,0.4000000059604645,1,51.98953,4.02452,270.1000061035156,87,35
231,"1622561376.35048,",249532000,0,0.0,0,51.961,4.1405,258.0,38,33
232,"1622561376.4886022,",249689000,0,11.899999618530272,0,51.941633333333336,4.194866666666667,298.0,298,35
233,"1622561376.7225568,",257048880,0,11.100000381469728,1,52.032715,3.9648666666666665,306.1000061035156,314,35
234,"1622561376.897574,",636012662,0,0.0,0,51.96768166666666,4.073858333333333,137.0,152,37
235,"1622561376.9227424,",538009297,5,0.0,1,51.93937666666667,4.061625,2.900000095367432,69,34
236,"1622561377.0578058,",305542000,8,0.0,0,51.96404666666667,4.094918333333333,32.599998474121094,295,37
237,"1622561377.4040473,",244287000,0,25.899999618530277,1,51.97326666666667,4.1211166666666665,31.0,39,35
238,"1622561377.4712212,",538006271,0,6.300000190734863,1,51.980671666666666,3.745523333333333,61.0,60,38
239,"1622561377.514608,",304642000,5,16.600000381469727,1,52.030166666666666,3.940166666666667,295.0,300,35
240,"1622561377.7310886,",249040000,0,8.399999618530273,1,51.97230833333333,4.09622,81.0,87,34
241,"1622561377.7427778,",244900124,0,0.0,0,51.96001833333333,4.0111566666666665,181.1000061035156,357,38
242,"1622561377.7804642,",244050469,0,0.0,0,51.96119333333333,4.089875,250.8000030517578,193,37
243,"1622561377.8056238,",219964000,3,0.2000000029802322,1,51.833108333333335,3.88231,235.1999969482422,71,38
